At the start of an endovenous ablation procedure for the great saphenous vein, the catheter is inserted _____________________ and advanced to a position_____________________ before activating the device.<br><br><b>A:</b> into the distal GSV , 2cm distal to the saphenopopliteal junction<br><b>B:</b> into the GSV at the groin, at the most distal point of reflux<br><b>C:</b> into the distal GSV , 2cm distal to the saphenofemoral junction<br><b>D:</b> into the GSV at the groin, 2cm below the knee	<b>Answer:</b> C. into the distal GSV , 2cm distal to the saphenofemoral junction<br><br><b>Feedback:</b><br>At the start of an endovenous ablation procedure for the GSV, the catheter is inserted into the distal vein and advanced to a<br>position 2cm distal to the SFJ before the device is activated. Once activated, the catheter is slowly withdrawn down the leg and<br>out through the puncture site. This should cause fibrosis of the vein in the treated area. The catheter tip must be 2cm or more<br>from the SFJ to prevent damage to the common femoral vein.
If the peak velocity in a transjugular intrahepatic portosystemic shunt at the portal vein anastomosis is 50cm/s and the mid graft velocity is 25cm/s, what is indicated?<br><br><b>A:</b> The mid graft velocity is very low and indicates impending failure of the shunt.<br><b>B:</b> The velocities indicate normal flow within the shunt.<br><b>C:</b> There is most likely an occlusion in the graft at the proximal end.<br><b>D:</b> There is approximately a 50% stenosis at the portal anastomosis.	<b>Answer:</b> A. The mid graft velocity is very low and indicates impending failure of the shunt.<br><br><b>Feedback:</b><br>Flow velocity &lt;50cm/s in the intrahepatic shunt indicates impending failure.
Which of the following techniques cannot be used to monitor distal flow in the leg while compression therapy for a pseudoaneurysm is performed?<br><br><b>A:</b> PPG sensor on the great toe<br><b>B:</b> Doppler evaluation of the PTA or DPA<br><b>C:</b> Pressure monitor on the great toe<br><b>D:</b> PPG sensor on the ankle	<b>Answer:</b> D. PPG sensor on the ankle<br><br><b>Feedback:</b><br>When PPG is used to evaluate arterial flow, the sensors are placed on the great toes. When PPG is used to evaluate venous<br>reflux, the sensor is placed on the lower calf near the ankle. It is contraindicated to obtain an ankle pressure in a patient with an<br>acute pseudoaneurysm. A toe monitor can be used because the inflation of the cuff has little to no effect on pressure in the<br>femoral artery.
What is the best Sonographic technique to use to evaluate the status of a pseudoaneurysm after 10 minutes of compression therapy is applied?<br><br><b>A:</b> PW Doppler<br><b>B:</b> Tissue Doppler<br><b>C:</b> CW Doppler<br><b>D:</b> Color Doppler	<b>Answer:</b> D. Color Doppler<br><br><b>Feedback:</b><br>Color Doppler is the best for identifying the presence of the stalk within the tissues. PW and CW Doppler can be used to<br>evaluate the stalk once it has been located with color but cannot reliably locate the stalk without color guidance.
Which of the following is a treatment for a pseudoaneurysm?<br><br><b>A:</b> Compression stockings<br><b>B:</b> Thrombin injection<br><b>C:</b> Coumadin<br><b>D:</b> IV Heparin	<b>Answer:</b> B. Thrombin injection<br><br><b>Feedback:</b><br>A Thrombin injection is used to treat pseudoaneurysms with large stalks. Ultrasound guidance is used to make the injection that<br>promotes thrombosis of the stalk and body of the pseudoaneurysm. Coumadin is a blood thinner that would decrease the<br>ability of clot formation in the pseudoaneurysm. IV Heparin is used to treat DVT.
"A patient is referred to the vascular lab to evaluate the placement of a Greenfield filter. Where will you look for this?<br><br><b>A:</b> abdominal aorta<br><b>B:</b> right or left groin<br><b>C:</b> IVC<br><b>D:</b> subclavian or internal jugular vein<br><br><img src=""q6.png"" alt=""Question 6 image"">"	<b>Answer:</b> C. IVC<br><br><b>Feedback:</b><br>The filter is used to prevent pulmonary embolism from the lower extremities. The filter is placed into the IVC below the level of<br>the renal veins.
Which of the following is an advantage of intraoperative vascular ultrasound compared to intraoperative angiography?<br><br><b>A:</b> Technique does not require vessel puncture to obtain flow information<br><b>B:</b> Can assess flow in all branches of the intracerebral vessels<br><b>C:</b> Provides real time flow evaluation<br><b>D:</b> Can be performed during the surgical procedure	<b>Answer:</b> A. Technique does not require vessel puncture to obtain flow information<br><br><b>Feedback:</b><br>Angiography is an invasive procedure that requires a vessel puncture to administer contrast. Intraoperative US is performed by<br>placing the transducer on the artery, no puncture required to obtain flow information. Both ultrasound and angiography can<br>provide real time blood flow information because the contrast flow is evaluated live with fluoroscopy on angiography.<br>Ultrasound does not evaluate all branches of the intracerebral vessels while angiography can visualize all patent branches in the<br>FOV. Both techniques can be performed during the surgery.
"Which of the following statements best describes the Doppler tracing found in the stalk of a pseudoaneurysm?<br><br><b>A:</b> high resistance to and fro flow<br><b>B:</b> phasic forward flow<br><b>C:</b> low resistance to and fro flow<br><b>D:</b> continuous forward flow<br><br><img src=""q8.jpg"" alt=""Question 8 image"">"	<b>Answer:</b> A. high resistance to and fro flow<br><br><b>Feedback:</b><br>The body of the pseudo aneurysm will demonstrate a low resistance &quot;swirling&quot; of flow on the Doppler tracing. The neck/stalk of<br>the pseudo aneurysm is normally very narrow and will demonstrate a high resistance, biphasic waveform.
What is the preferred patient position during catheter retraction in an endovenous laser ablation treatment?<br><br><b>A:</b> seated with legs dangling<br><b>B:</b> reverse Trendelenburg<br><b>C:</b> Trendelenburg<br><b>D:</b> standing	<b>Answer:</b> C. Trendelenburg<br><br><b>Feedback:</b><br>When the catheter is inserted at the start of the procedure, the semi-erect or reverse Trendelenburg position is helpful to better<br>visualize the advancement of the catheter. Once the laser is activated and the catheter is retracted, the patient is placed in the<br>Trendelenburg position to reduce the blood volume in the veins of the leg and facilitate the closure of the vein during the<br>procedure. The laser essentially damages the walls of the veins causing a reduced lumen diameter and thrombus formation.<br>The less blood that&#x27;s in the vein, the easier it will be to successfully treat the vein.
Which of the following is a contraindication for endovenous laser ablation of the great saphenous vein?<br><br><b>A:</b> valvular incompetence in the great saphenous vein<br><b>B:</b> chronic obstruction of the peroneal veins<br><b>C:</b> chronic obstruction of the femoral vein<br><b>D:</b> Baker cyst in the ipsilateral popliteal fossa	<b>Answer:</b> C. chronic obstruction of the femoral vein<br><br><b>Feedback:</b><br>IT IS VERY IMPORTANT to evaluate the venous outflow system of a patient prior to removal or closure of the saphenous vein. If<br>the deep system is obstructed and the superficial system is the main outflow for the leg, the saphenous vein cannot be<br>removed/closed.
