"An in-situ vein graft exam must include the evaluation of any patent branches because:<br><br><b>A:</b> of the potential for AV fistula formation<br><b>B:</b> of increased risk for the formation of an AV malformation<br><b>C:</b> they are necessary for proper graft function<br><b>D:</b> of the increased risk of stenosis in the branch<br><br><img src=""q1.jpg"" alt=""Question 1 image"">"	<b>Answer:</b> A. of the potential for AV fistula formation<br><br><b>Feedback:</b><br>In-situ and reversed vein grafts should have all branches ligated before being placed as a bypass conduit. This process is more effectively performed on the reversed vein graft because it is removed from the leg before it is placed as a graft. An AV fistula is the most common complication of an in-situ vein graft because the venous branches can still be visibly patent. The arterial flow entering the venous branches can cause an AV fistula. An AV malformation is a congenital connection between an artery and vein.
A 65yr old male presents with mild left calf pain after walking 10 blocks. The pain is relieved by sitting and resting. On a resting arterial exam with ABI, the left ABI is 1.04. These findings are most suggestive of:<br><br><b>A:</b> An exercise arterial should be performed to re-evaluate the ABI of the left leg before a diagnosis is made.<br><b>B:</b> The venous system should be evaluated for possible insufficiency.<br><b>C:</b> The patient is most likely experiencing an orthopedic or neurogenic problem and an MRI may be warranted.<br><b>D:</b> The venous system should be evaluated for thrombosis.	<b>Answer:</b> A. An exercise arterial should be performed to re-evaluate the ABI of the left leg before a diagnosis is made.<br><br><b>Feedback:</b><br>Because the symptoms occur when the patient is walking, the leg should be evaluated with exercise to completely rule out a vascular diagnosis.
According to the Appropriate Use Criteria, which of the following is an inappropriate indication for an upper extremity arterial duplex exam?<br><br><b>A:</b> suspected positional arterial obstruction<br><b>B:</b> unilateral cold hand<br><b>C:</b> 1 month follow up baseline exam post-intervention<br><b>D:</b> unilateral arm swelling	<b>Answer:</b> D. unilateral arm swelling<br><br><b>Feedback:</b><br>Limb swelling is a common symptom of extremity venous disease, not arterial disease.
"Which of the following statements best describes the Doppler tracing found in the stalk of a pseudoaneurysm?<br><br><b>A:</b> high resistance to-and-fro flow<br><b>B:</b> phasic forward flow<br><b>C:</b> low resistance to-and-fro flow<br><b>D:</b> continuous forward flow<br><br><img src=""q4.jpg"" alt=""Question 4 image"">"	<b>Answer:</b> A. high resistance to-and-fro flow<br><br><b>Feedback:</b><br>The body of the pseudo aneurysm will demonstrate a low resistance &quot;swirling&quot; of flow on the Doppler tracing. The neck/stalk of the pseudo aneurysm is normally very narrow and will demonstrate a high resistance, biphasic waveform.
________________________ is a nonspecific sign of DVT. It is defined as pain experienced upon quick dorsiflexion of the foot.<br><br><b>A:</b> Homan Sign<br><b>B:</b> Asher Sign<br><b>C:</b> Allen Sign<br><b>D:</b> Henderson Sign	<b>Answer:</b> A. Homan Sign<br><br><b>Feedback:</b><br>Homan sign is a nonspecific sign of DVT. It is defined as pain experienced upon quick dorsiflexion of the foot. Asher sign refers to enlargement of the spleen that extends across the midline, anterior to the abdominal aorta. The Allen Test is used to determine ulnar artery patency related to graft availability for removing the radial artery.
"According to the attached color map, what color will laminar flow be demonstrated that is moving at 40cm/s away from the probe?<br><br><b>A:</b> yellow<br><b>B:</b> green<br><b>C:</b> blue<br><b>D:</b> red<br><br><img src=""q6.jpg"" alt=""Question 6 image"">"	<b>Answer:</b> C. blue<br><br><b>Feedback:</b><br>The color on the bottom of the color bar indicates flow moving away from the transducer. The variance map allows for evaluation of turbulent flow. If a green color appears, the flow is moving away from the probe and is turbulent. Flow velocities greater than 0.45 m/s will alias causing display of yellow (turbulent) or red.
____________________ cause primary varicose veins, while ___________________ cause secondary varicose veins.<br><br><b>A:</b> incompetent valves, elevated deep venous pressures<br><b>B:</b> incompetent valves, incompetent perforators<br><b>C:</b> elevated deep venous pressures, incompetent valves<br><b>D:</b> elevated deep venous pressures, elevated arterial pressures	<b>Answer:</b> A. incompetent valves, elevated deep venous pressures<br><br><b>Feedback:</b><br>Incompetent valves cause primary varicose veins, while elevated deep venous pressures in a diseased deep system (hx of DVT or abnormal valves) cause secondary varicose veins. Primary varicose veins are much more common than secondary.
Which of the following changes in flow can be seen with a Baker cyst?<br><br><b>A:</b> pulsatile flow in the superficial femoral vein<br><b>B:</b> continuous flow in the popliteal artery<br><b>C:</b> continuous flow in the popliteal vein<br><b>D:</b> pulsatile flow in the popliteal vein	<b>Answer:</b> C. continuous flow in the popliteal vein<br><br><b>Feedback:</b><br>A Baker cyst can cause pain and swelling in the popliteal fossa. The extrinsic compression of the popliteal vein by the cyst can lead to a continuous flow pattern, blood stasis and DVT formation. The arterial walls are muscular and can prevent the effects of extrinsic compression on the popliteal artery.
A patient presents for an ABI exam due to bilateral calf pain. He is a dialysis patient with an occluded graft in the right arm and a patent graft in the left arm. What should you do first?<br><br><b>A:</b> Skip the brachial pressures and just do the ankle pressures<br><b>B:</b> Change the exam t o a lower extremity arterial exam and start scanning<br><b>C:</b> Take the pressure in the arm with the occluded graft<br><b>D:</b> Call the referring physician to explain that the exam is not possible for this patient	<b>Answer:</b> D. Call the referring physician to explain that the exam is not possible for this patient<br><br><b>Feedback:</b><br>NEVER take a blood pressure in an arm with a hemodialysis graft. The ABI exam requires accurate brachial pressure readings in order to calculate the ABI. Without the brachial pressures, the exam is non-diagnostic. You should contact the referring physician to alert them of the issue and ask if they would like to order a different exam to assist the patient. NEVER cancel or change a physician&#x27;s order. They must submit a new order if something changes.
A patient presents with a history of HTN, diabetes and claudication. The arterial Doppler evaluation demonstrates monophasic flow in all calf vessels, but the ABI values are LT 1.36 and RT 1.32. Which of the following correctly describes the findings?<br><br><b>A:</b> The exam is normal and additional testing should be performed to rule out extrinsic vessel compression due to median arcuate ligament syndrome.<br><b>B:</b> The exam is normal and additional testing should be performed to rule out extrinsic vessel compression due to popliteal entrapment syndrome.<br><b>C:</b> The most likely diagnosis is thromboangiitis obliterans, which leads to medial calcification of the calf vessels.<br><b>D:</b> The ABI values are abnormally elevated due to a diabetic complication called medial calcification.	<b>Answer:</b> D. The ABI values are abnormally elevated due to a diabetic complication called medial calcification.<br><br><b>Feedback:</b><br>Monophasic flow in the extremities is normally associated with an ABI less than 0.9. Diabetes can lead to medial calcification of the arterial walls which will falsely elevate the ankle pressures.
